priority,item,action,url,wordpress_object,issue,http_response_after,impressions_15mo,clicks_15mo,avg_position,confirmed_by,needs_live_check
1,3-authors,DELETE USER,https://therapynearme.com.au/author/franklinwee79gmail-com/,"User account (slug: franklinwee79gmail-com)","Personal Gmail address exposed in public indexed URL path. Reassign all posts to a named author before deleting.",410,,,,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/11,Author archive page,Email-address author archive indexed,410,1,0,85,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/12,Author archive page,Email-address author archive indexed,410,3,0,21.67,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/13,Author archive page,Email-address author archive indexed,410,1,0,4,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/16,Author archive page,Email-address author archive indexed,410,11,0,5.27,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/19,Author archive page,Email-address author archive indexed,410,1,0,5,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/22,Author archive page,Email-address author archive indexed,410,2,0,4,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/86,Author archive page,Email-address author archive indexed,410,1,0,4,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/87,Author archive page,Email-address author archive indexed,410,23,0,7,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/90,Author archive page,Email-address author archive indexed,410,1,0,9,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/92,Author archive page,Email-address author archive indexed,410,1,0,4,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/96,Author archive page,Email-address author archive indexed,410,3,0,4,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/97,Author archive page,Email-address author archive indexed,410,1,0,11,GSC,no
1,3-authors,DELETE URL,https://therapynearme.com.au/author/franklinwee79gmail-com/page/98,Author archive page,Email-address author archive indexed,410,2,0,23.5,GSC,no
1,3-authors,GSC REMOVAL REQUEST,https://therapynearme.com.au/author/franklinwee79gmail-com/,Search Console prefix removal,Pull the email address out of the SERP without waiting for recrawl,n/a,,,,GSC,no
